القسم,الكود,الاسم_في_السيستم,الاسم_في_الميزان,الاسم_في_الاكسيل,سعر_السيستم,سعر_الميزان,سعر_الاكسيل,الملاحظة
"منتجات","SERV-svc-rice-tray","صينية رز بسمتي","","","180","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-rice-white","وجبة رز أبيض","","","25","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-sausage-make","تصنيع سجق","","تصنيع سجق","25","","100","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-slaughter-calf","ذبح عجل","","ذبح عجل","250","","10000","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-slaughter-sheep","ذبح خروف","","ذبح خروف","80","","1750","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-transport-calf","نقل عجل","","","150","","","موجود في السيستم وغير موجود على الميزان"
"منتجات","SERV-svc-transport-sheep","نقل خروف","","","50","","","موجود في السيستم وغير موجود على الميزان"
"اكسيل فقط","","","","خروف بلدي صغير","","","270","مش موجود كمنتج منفصل في السيستم"
"اكسيل فقط","","","","عجل 1/7","","","16000","مش موجود في السيستم"
"اكسيل فقط","","","","تصنيع برجر","","","75","مش موجود في السيستم"
"اكسيل فقط","","","","تصنيع كفته","","","75","مش موجود في السيستم"
